index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, maxFeature, numDocs, date 
crisis3, 0.4373436660459516, 0.3972047514626144, 0.4865068685757895, 0.2555280067785744, 0.2429532087617132, 0.01110505942223427, 0.04969025276027537, 0.002394628681158135, 2000, 1500, 2023-06-12 14:59:12.652310  
crisis3, 0.5460379819654521, 0.52018266244725, 0.5745979770673566, 0.4574505457094709, 0.2429532087617132, 0.01110505942223427, 0.04969025276027537, 0.002394628681158135, 2000, 1500, 2023-06-12 14:59:13.807297  
NG3, 0.9157677368292017, 0.9155806025743078, 0.9159549475959573, 0.9454557625206578, 0.31333727677098544, 0.02038017114335718, 0.8016078120185798, 0.8648317193532774, 2000, 1200, 2023-06-12 14:59:20.901294  
NG3, 0.9074967942196099, 0.9072186657800763, 0.9077750932445913, 0.9380958924728839, 0.31333727677098544, 0.02038017114335718, 0.8016078120185798, 0.8648317193532774, 2000, 1200, 2023-06-12 14:59:22.818844  
crisis4, 0.637404306468836, 0.6097983399681329, 0.6676282714908839, 0.49169638210014527, 0.2981639032098427, 0.013894568614353904, 0.04391614645242505, 0.001488697211471802, 2000, 2000, 2023-06-12 14:59:29.881932  
crisis4, 0.49896434370309817, 0.4638782429777944, 0.5397923148723862, 0.3732775865870413, 0.2981639032098427, 0.013894568614353904, 0.04391614645242505, 0.001488697211471802, 2000, 2000, 2023-06-12 14:59:32.600601  
R4, 0.3920086107255209, 0.3390965911279278, 0.4644861981168294, 0.18028423448452352, 0.4407114756586874, 0.07473326412609396, 0.2524357755288105, 0.058335699168718565, 2000, 800, 2023-06-12 14:59:35.892685  
R4, 0.3808314659457316, 0.3045089768643987, 0.5082097593927292, 0.14688178864688844, 0.4407114756586874, 0.07473326412609396, 0.2524357755288105, 0.058335699168718565, 2000, 800, 2023-06-12 14:59:36.645269  
NG5, 0.7996883531919459, 0.795537314314867, 0.8038829387523421, 0.7760719125829447, 0.3689195138430364, 0.0227781012307777, 0.627936427465873, 0.5187440105577743, 2000, 2000, 2023-06-12 14:59:48.342433  
NG5, 0.7686147807318591, 0.759387369019093, 0.7780691977015376, 0.705259297701506, 0.3689195138430364, 0.0227781012307777, 0.6285132821809238, 0.517889657910932, 2000, 2000, 2023-06-12 14:59:54.009697  
R5, 0.595676171765079, 0.5681131305104135, 0.626050131964379, 0.49645951010818773, 0.4756525137798586, 0.11531409003699744, 0.3071193955471258, 0.14561010260853563, 2000, 500, 2023-06-12 14:59:56.016340  
R5, 0.6383362267292907, 0.6350913287641726, 0.6416144535613323, 0.6295021776586353, 0.4756525137798586, 0.11531409003699744, 0.3071193955471258, 0.14561010260853563, 2000, 500, 2023-06-12 14:59:56.505209  
NG6, 0.7103913782687363, 0.7002426847622616, 0.7208385701861331, 0.6411201618968329, 0.4068774537683166, 0.02511997488109185, 0.6768328475326663, 0.5796584548371099, 2000, 2400, 2023-06-12 15:00:10.815017  
NG6, 0.7250606816146443, 0.7093189366689071, 0.7415169902366207, 0.5987402205960661, 0.4068774537683166, 0.02511997488109185, 0.677675037012076, 0.5800586787951009, 2000, 2400, 2023-06-12 15:00:20.710124  
R6, 0.560995881005522, 0.49599095191007686, 0.6456099880464956, 0.3410835091278335, 0.4690728893292945, 0.06962316220562167, 0.24206496896766866, 0.037081262152701536, 2000, 1197, 2023-06-12 15:00:22.510160  
R6, 0.6750880757773923, 0.6502909513614376, 0.7018513183317243, 0.5672485646040579, 0.4690728893292945, 0.06962316220562167, 0.24206496896766863, 0.037081262152701536, 2000, 1197, 2023-06-12 15:00:24.076527  
crisis3, 0.29219670646946183, 0.2780134775394327, 0.30790488550617445, 0.14957812741640494, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, 2023-06-12 15:03:16.586718  
crisis3, 0.4130524962694891, 0.363145388758746, 0.47886263689716385, 0.23567460756584388, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, 2023-06-12 15:03:17.578508  
NG3, 0.8372263467884534, 0.8365208434493242, 0.8379330411441568, 0.8808978741602873, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, 2023-06-12 15:03:24.543450  
NG3, 0.8743024784511368, 0.8742768102144934, 0.8743281481950321, 0.9215185061702428, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, 2023-06-12 15:03:26.027208  
